census_tract,total_people,parks,shelter_beds,building_permits,foreclosures
215102,4,10,0,6613,28
216100,0,16,0,15776,185
216200,6,16,0,13481,163
216300,9,17,0,19326,185
216401,7,8,0,4657,37
216402,0,8,0,4657,37
216700,15,14,0,11525,172
216800,3,15,0,17370,194
216900,34,6,0,6868,135
217001,10,8,0,4657,37
217002,62,8,0,4657,37
217100,13,6,0,6868,135
217200,28,6,0,6868,135
218110,12,6,82,6868,135
218120,37,21,104,10494,238
218210,6,6,0,6868,135
218220,4,28,0,11566,253
218300,12,28,0,11566,253
218400,4,22,0,4698,118
218500,11,22,48,4698,118
218600,12,22,0,4698,118
218701,4,37,0,8324,221
218702,10,37,0,8324,221
218800,3,15,0,3626,103
218900,2,15,0,3626,103
219010,17,15,0,3626,103
219020,9,15,0,3626,103
219300,15,15,0,3626,103
219500,19,22,0,4698,118
219700,17,22,63,4698,118
219800,6,22,0,4698,118
219901,4,22,0,4698,118
219902,8,22,0,4698,118
220000,23,22,0,4698,118
220100,15,22,0,4698,118
221110,5,7,0,2824,54
221120,6,7,0,2824,54
221210,1,7,20,2824,54
221220,11,7,0,2824,54
221302,41,13,0,9692,189
221303,38,13,0,9692,189
221304,42,6,0,6868,135
221401,5,15,0,3626,103
221402,64,15,0,3626,103
221500,18,15,0,3626,103
221601,21,7,0,3441,32
221602,6,7,0,3441,32
221710,18,7,0,3441,32
221810,30,7,0,3441,32
221820,11,7,0,3441,32
221900,4,7,0,3441,32
222001,15,15,0,3626,103
222002,7,15,0,3626,103
222100,2,22,0,7067,135
222200,8,22,0,7067,135
222500,14,15,0,3626,103
222600,3,7,0,3441,32
222700,11,7,0,4905,32
224010,49,4,127,3995,9
224020,43,49,0,12056,210
224200,50,4,0,3995,9
224310,6,7,0,2824,54
224320,8,18,0,10260,95
224410,40,11,0,7436,41
224420,8,7,0,3441,32
224600,181,45,112,8061,201
224700,9,7,0,3441,32
226001,66,44,0,11180,181
226002,476,6,0,8057,10
226410,20,38,0,4620,169
226420,37,38,18,4620,169
226700,169,38,30,4620,169
227010,33,38,0,4976,172
227020,7,38,0,4620,169
228100,34,38,0,4976,172
228210,12,38,0,4620,169
228220,6,38,0,4620,169
228310,7,38,0,4620,169
228320,90,38,0,4620,169
228410,35,38,12,4620,169
228420,128,52,0,7940,293
228500,17,52,0,7940,293
228600,6,38,0,4620,169
228710,20,38,0,4620,169
228720,17,38,0,4620,169
228800,34,38,0,4976,172
228900,42,38,0,4976,172
229100,13,38,0,4620,169
229200,47,38,0,4620,169
229300,66,52,0,7940,293
229410,26,38,50,4620,169
229420,13,38,0,4620,169
231100,319,59,440,11381,325
231210,2,14,0,3320,124
231220,93,21,0,6761,156
231300,35,19,0,5423,244
231400,17,20,69,5729,223
231500,18,5,0,2103,120
231600,44,19,22,5423,244
231710,23,14,0,3320,124
231720,136,14,0,3320,124
231800,333,14,0,3320,124
231900,61,14,178,3320,124
232110,19,14,0,3320,124
232120,50,14,0,3320,124
232200,10,19,0,5423,244
232300,46,19,44,5423,244
232400,142,5,110,2103,120
232500,69,17,30,5319,340
232600,17,19,10,5423,244
232700,499,14,257,3320,124
232800,49,14,405,3320,124
234000,41,30,6,8963,344
234200,34,47,0,11558,342
234300,28,10,0,3234,121
234501,21,15,0,5414,294
234502,10,15,0,5414,294
234600,24,10,0,3311,174
234700,1,22,0,6527,394
234800,5,22,0,6527,394
234901,4,10,0,3311,174
234902,7,10,0,3311,174
235100,2,10,0,3311,174
235201,9,22,16,6527,394
235202,5,10,0,3311,174
236000,15,32,0,7932,239
236100,15,32,0,7932,239
236202,37,32,0,7932,239
236203,64,32,0,7932,239
236204,61,10,0,3234,121
236400,0,10,0,3234,121
237101,11,16,0,4181,251
237102,8,30,0,8031,460
237201,18,28,0,7397,471
237202,78,12,0,3216,220
237300,90,12,0,3216,220
237401,12,16,0,4181,251
237402,6,28,0,7397,471
237500,17,16,0,4181,251
237600,0,30,66,8031,460
237710,43,30,0,8031,460
237720,6,30,0,8031,460
237800,14,28,0,7397,471
237900,4,12,0,3216,220
238000,22,12,0,3216,220
238100,19,12,150,3216,220
238200,20,28,0,7397,471
238310,7,30,0,8031,460
238320,195,30,0,8031,460
238400,12,12,0,3216,220
239201,65,14,0,3850,209
239202,40,52,0,9534,411
239310,30,14,0,3850,209
239320,3,14,0,3850,209
239330,29,14,0,4914,242
239501,35,14,0,4914,242
239502,11,14,0,4914,242
239601,78,14,0,3850,209
239602,31,14,0,3850,209
239701,28,14,0,3850,209
239702,20,14,0,3850,209
239801,19,14,0,4914,242
239802,57,14,0,4914,242
240010,48,21,0,6884,360
240020,22,21,0,5820,327
240200,104,14,39,3850,209
240300,43,30,0,8031,460
240401,34,30,0,8031,460
240402,13,30,0,8031,460
240500,33,14,0,3850,209
240600,16,14,0,3850,209
240700,23,21,0,5820,327
240800,29,37,50,7069,407
240900,0,17,0,2102,114
241001,17,17,0,2102,114
241002,36,17,0,2102,114
241110,113,15,16,4703,243
241120,18,15,42,4703,243
241201,2,31,0,8884,494
241202,26,17,0,5034,285
241300,18,17,397,5034,285
241400,11,1,0,853,34
242000,106,23,0,3219,198
242100,17,7,0,1970,118
242200,13,7,0,1970,118
242300,16,7,239,1970,118
242600,46,16,0,1249,80
242700,44,23,0,3219,198
243000,27,23,0,3219,198
243100,33,16,0,1249,80
261101,0,12,0,9670,88
261102,0,0,0,3133,25
261200,0,3,0,6600,50
262100,0,3,0,6600,50
262200,0,12,0,13666,81
262301,2,9,0,10199,56
262302,0,9,0,10199,56
262303,0,9,0,10199,56
262400,0,19,0,16865,88
262501,1,10,0,6666,32
262601,2,10,0,6666,32
262604,33,10,0,6666,32
262704,67,10,0,6666,32
262706,44,10,0,6666,32
262802,43,23,0,17601,92
264000,0,9,0,10199,56
264102,4,9,0,10199,56
264103,5,9,0,10199,56
264301,16,22,0,17021,91
264302,17,26,0,17757,95
265100,0,4,0,6249,52
265201,1,4,0,6249,52
265202,37,4,0,6249,52
265301,5,4,0,6249,52
265303,0,4,0,6249,52
265304,0,4,0,6249,52
265305,7,4,0,6249,52
265410,0,9,0,10199,56
265420,4,13,0,16448,108
265510,13,4,0,6249,52
265520,197,17,153,13071,87
265601,0,17,0,13071,87
265602,0,4,0,6249,52
265700,3,17,0,13071,87
267100,12,24,16,12450,73
267200,68,13,0,6822,35
267300,21,13,504,6822,35
267402,10,13,0,6822,35
267403,124,13,0,6822,35
267404,0,13,0,6822,35
267501,2,13,0,6822,35
267502,24,13,0,6822,35
267600,30,24,0,12450,73
267700,17,24,32,12450,73
267800,112,11,0,5628,38
267901,1,24,0,16425,80
267902,0,11,0,5628,38
269000,10,20,0,15495,106
269100,4,8,0,4657,37
269300,10,11,0,5628,38
269500,0,9,0,9840,68
269601,5,9,0,9840,68
269602,0,9,0,9840,68
269700,2,1,0,5183,31
269800,15,1,0,5183,31
269903,19,2,0,5423,32
269904,12,1,0,5183,31
269905,22,2,0,5423,32
269906,3,1,0,5183,31
269907,25,1,0,5183,31
270100,6,2,0,5423,32
270200,8,1,0,5183,31
270300,31,37,0,21406,321
271100,13,11,0,5628,38
271200,34,11,0,5628,38
271300,7,18,0,12127,74
271400,7,7,0,6499,36
271500,17,18,0,12127,74
271600,9,18,0,12127,74
271701,5,12,0,10811,69
271702,8,12,0,10811,69
271801,14,1,0,5183,31
271802,5,1,0,5183,31
271901,21,7,0,6499,36
271902,36,7,0,6499,36
272100,12,7,0,6499,36
272201,14,7,0,6499,36
272202,16,7,0,6499,36
272301,2,7,0,6499,36
272302,1,7,0,6499,36
273100,68,20,35,6117,43
273200,95,20,32,6117,43
273300,128,20,337,6117,43
273402,178,20,0,6117,43
273502,116,20,0,6117,43
273600,32,20,0,6117,43
273700,20,20,0,6117,43
273800,27,27,0,12616,79
273902,50,24,0,9203,70
274100,123,24,0,9203,70
274202,52,4,0,3086,27
275101,17,3,0,1054,15
275102,8,10,0,7553,51
275200,38,7,22,6499,36
275302,15,11,0,9585,63
275311,23,7,0,6499,36
275400,19,11,0,9585,63
275500,29,10,0,7553,51
275602,0,7,0,10734,51
275603,30,10,0,7553,51
276000,2,7,0,12388,54
276100,21,7,0,12505,59
276400,7,7,0,12388,54
276500,19,7,0,12388,54
276601,5,10,0,13987,78
276603,9,3,0,1599,24
276604,4,10,0,13987,78
277000,29,7,0,12388,54
277100,8,7,0,12388,54
277200,11,7,0,12388,54
277400,349,7,0,12388,54
278001,36,7,0,12388,54
278102,8,3,0,1599,24
291110,0,20,40,5703,303
291120,0,4,0,2375,62
291130,2,4,0,2375,62
291210,0,3,0,1522,28
291220,5,3,0,1522,28
291300,55,0,0,853,10
292000,57,4,0,2502,35
293201,0,4,0,1203,25
293202,13,4,18,1203,25
293301,4,6,0,1836,40
293302,47,6,0,1897,43
293304,12,6,0,1897,43
293306,6,6,0,1897,43
293307,12,6,0,1897,43
294110,86,21,0,2827,82
294120,8,21,0,2827,82
294200,35,21,0,2827,82
294301,10,21,0,2827,82
294302,47,21,0,2827,82
294410,17,27,0,4663,122
294421,39,27,0,4663,122
294510,2,21,0,2827,82
294520,0,21,0,2827,82
294610,16,21,0,2827,82
294620,0,21,0,2827,82
294701,54,21,0,2827,82
294810,38,21,0,2827,82
294820,23,21,0,2827,82
294830,49,21,0,2827,82
294900,1,21,0,2827,82
295103,6,37,0,7047,134
296210,29,26,0,4877,85
296220,76,26,0,4877,85
296300,20,37,0,7052,134
296401,0,11,0,2170,49
296402,6,37,0,7047,134
296500,36,26,0,4877,85
296600,23,26,179,4877,85
296901,0,26,0,4877,85
296902,56,26,0,4877,85
297000,9,37,0,7047,134
297110,61,26,149,4877,85
297120,45,26,0,4877,85
297201,27,26,0,4877,85
297202,4,26,0,4877,85
297300,7,37,0,7047,134
297400,7,11,0,2170,49
297500,4,37,0,7047,134
297601,5,26,0,4877,85
297602,0,26,0,4877,85
300100,0,0,0,63,0
300200,0,0,0,63,0
300501,0,0,0,63,0
300502,3,0,0,0,0
310100,0,1,0,327,6
310201,0,0,0,0,0
310202,0,0,0,0,0
310300,0,1,0,327,6
310400,4,1,0,327,6
310501,3,1,0,327,6
310601,47,1,0,327,6
310602,0,1,0,327,6
310701,5,0,0,0,0
310702,32,0,0,0,0
310703,9,0,0,0,0
310800,8,2,0,100,1
310900,16,2,0,100,1
311000,3,0,0,99,1
311100,4,0,0,99,1
311200,3,0,0,99,1
311300,0,0,0,99,1
311400,4,0,0,99,1
311500,0,0,0,99,1
311600,5,0,0,99,1
311700,10,2,0,100,1
311801,1,2,0,1,0
311802,1,2,0,1,0
320000,3,0,0,318,0
320100,9,3,0,750,19
320201,5,3,0,750,19
320202,3,3,0,750,19
320300,7,24,48,7252,254
400204,2,0,0,0,0
400205,0,0,0,0,0
400206,0,0,0,0,0
400207,0,0,0,0,0
400302,0,0,0,0,0
400304,27,0,19,0,0
400402,229,0,229,0,0
400403,0,0,0,0,0
400404,0,0,0,0,0
400501,0,0,0,0,0
400602,9,0,0,0,0
400603,8,0,0,0,0
400604,4,0,0,0,0
400800,0,0,0,0,0
400900,4,0,0,0,0
401001,0,0,0,0,0
401002,7,0,0,0,0
401101,0,0,0,0,0
401102,29,0,0,0,0
401201,0,0,0,0,0
401202,0,0,0,0,0
401203,0,0,0,0,0
401303,0,0,0,0,0
401304,0,0,0,0,0
401311,5,0,0,0,0
401312,0,0,0,0,0
401500,0,0,58,0,0
401601,1,0,0,0,0
401602,2,0,0,0,0
401603,1,0,0,0,0
401701,4,0,0,0,0
401703,9,0,0,0,0
401704,6,0,0,0,0
401800,10,0,0,0,0
401901,1,0,0,0,0
401902,12,0,47,0,0
402001,0,0,0,0,0
402002,0,0,0,0,0
402101,130,0,257,0,0
402102,19,0,38,0,0
402200,16,0,15,0,0
402301,12,0,0,0,0
402303,5,0,0,0,0
402304,3,0,0,0,0
402402,65,0,0,0,0
402403,0,0,0,0,0
402404,0,0,0,0,0
402405,0,0,0,0,0
402406,4,0,0,0,0
402501,41,0,0,0,0
402502,11,0,0,0,0
402600,7,0,0,0,0
402702,10,0,16,0,0
402703,1,0,0,0,0
402705,0,0,0,0,0
402706,1,0,0,0,0
402801,32,0,0,0,0
402803,15,0,0,0,0
402804,3,0,0,0,0
402902,11,0,0,0,0
402903,0,0,0,0,0
402904,0,0,0,0,0
403000,9,0,0,0,0
403200,0,0,0,0,0
403303,0,0,0,0,0
403304,0,0,0,0,0
403305,0,0,0,0,0
403312,0,0,0,0,0
403316,0,0,0,0,0
403317,0,0,0,0,0
403318,0,0,0,0,0
403319,6,0,0,0,0
403320,0,0,0,0,0
403321,0,0,0,0,0
403322,0,0,0,0,0
403323,0,0,0,0,0
403324,0,0,0,0,0
403325,0,0,0,0,0
403401,2,0,0,0,0
403402,1,0,0,0,0
403403,0,0,0,0,0
403404,0,0,0,0,0
403405,0,0,0,0,0
403406,0,0,0,0,0
403407,0,0,0,0,0
403408,0,0,0,0,0
403500,0,0,0,0,0
403600,4,0,0,0,0
403702,0,0,0,0,0
403703,2,0,0,0,0
403721,26,0,236,0,0
403722,0,0,0,0,0
403801,4,0,0,0,0
403802,9,0,0,0,0
403901,0,0,0,0,0
403902,1,0,0,0,0
404000,13,0,0,0,0
404100,5,0,0,0,0
404201,6,0,0,0,0
404202,0,0,0,0,0
404301,5,0,0,0,0
404302,0,0,0,0,0
404401,7,0,0,0,0
404402,10,0,0,0,0
404501,5,0,0,0,0
404503,1,0,0,0,0
404504,0,0,0,0,0
404600,1,0,0,0,0
404701,14,0,0,0,0
404702,0,0,0,0,0
404703,15,0,0,0,0
404801,10,0,0,0,0
404802,2,0,0,0,0
404803,5,0,0,0,0
404901,2,0,0,0,0
404902,2,0,0,0,0
404903,11,0,0,0,0
405001,20,0,0,0,0
405002,2,0,0,0,0
405101,4,0,0,0,0
405102,11,0,0,0,0
405201,5,0,0,0,0
405202,0,0,0,0,0
405203,8,0,0,0,0
405301,0,0,0,0,0
405302,0,0,0,0,0
405400,0,0,0,0,0
405500,0,0,0,0,0
405600,0,0,0,0,0
405701,0,0,0,0,0
405702,7,0,0,0,0
405800,4,0,0,0,0
405900,4,0,0,0,0
406000,0,0,0,0,0
406101,2,0,0,0,0
406102,6,0,0,0,0
406200,5,0,0,0,0
406300,0,0,0,0,0
406402,0,0,0,0,0
406411,0,0,0,0,0
406412,0,0,0,0,0
406500,7,0,5,0,0
406601,2,0,0,0,0
406602,0,0,0,0,0
406701,0,0,0,0,0
406702,10,0,0,0,0
406800,4,0,0,0,0
406901,14,0,0,0,0
406902,0,0,0,0,0
407001,0,0,0,0,0
407002,11,0,0,0,0
407101,6,0,0,0,0
407102,2,0,0,0,0
407200,2,0,0,0,0
407301,15,0,0,0,0
407302,7,0,0,0,0
407400,0,0,0,0,0
407501,3,0,0,0,0
407502,0,0,0,0,0
407601,17,0,0,0,0
407602,4,0,0,0,0
407701,11,0,0,0,0
407702,7,0,0,0,0
407801,9,0,0,0,0
407802,4,0,0,0,0
407900,1,0,0,0,0
408003,0,0,0,0,0
408004,0,0,0,0,0
408005,0,0,0,0,0
408006,6,0,0,0,0
408133,0,0,0,0,0
408134,0,0,0,0,0
408135,6,0,0,0,0
408136,0,0,0,0,0
408137,8,0,0,0,0
408138,0,0,0,0,0
408139,0,0,0,0,0
408140,0,0,0,0,0
408141,0,0,0,0,0
408202,24,0,0,0,0
408211,24,0,0,0,0
408212,12,0,0,0,0
408301,61,0,0,0,0
408302,40,0,0,0,0
408303,6,0,0,0,0
408401,46,0,0,0,0
408402,51,0,638,0,0
408501,32,0,0,0,0
408503,23,0,0,0,0
408504,36,0,0,0,0
408505,19,0,0,0,0
408623,6,0,0,0,0
408624,0,0,0,0,0
408625,3,0,0,0,0
408626,0,0,0,0,0
408627,6,0,0,0,0
408628,0,0,0,0,0
408629,0,0,0,0,0
408630,4,0,0,0,0
408631,0,0,0,0,0
408703,0,0,0,0,0
408704,0,0,0,0,0
408705,16,0,15,0,0
408706,8,0,0,0,0
408722,0,0,0,0,0
408723,2,0,0,0,0
408724,22,0,0,0,0
408800,279,0,253,0,0
430002,5,0,0,0,0
430003,4,0,0,0,0
430101,51,0,45,0,0
430102,0,0,0,0,0
430200,0,0,0,0,0
430301,2,0,0,0,0
430302,2,0,0,0,0
430400,0,0,0,0,0
430501,5,0,0,0,0
430502,0,0,0,0,0
430600,0,0,0,0,0
430701,2,0,0,0,0
430721,0,0,0,0,0
430723,2,0,0,0,0
430724,0,0,0,0,0
430801,4,0,97,0,0
430802,0,0,0,0,0
430803,4,0,0,0,0
430901,10,0,0,0,0
430902,2,0,0,0,0
431001,14,0,0,0,0
431002,22,0,0,0,0
431100,4,0,0,0,0
431200,5,0,0,0,0
431300,14,0,0,0,0
431400,4,0,0,0,0
431501,1,0,0,0,0
431502,0,0,0,0,0
431600,0,0,0,0,0
431700,0,0,0,0,0
431800,0,0,0,0,0
431900,11,0,0,0,0
432000,2,0,0,0,0
432101,0,0,0,0,0
432102,3,0,0,0,0
432201,0,0,0,0,0
432202,0,0,0,0,0
432300,2,0,0,0,0
432401,1,0,0,0,0
432402,1,0,44,0,0
432500,0,0,0,0,0
432601,0,0,0,0,0
432602,0,0,0,0,0
432700,23,0,27,0,0
432801,8,0,0,0,0
432802,10,0,0,0,0
432901,2,0,0,0,0
432902,0,0,0,0,0
433101,91,0,0,0,0
433102,0,0,0,0,0
433200,0,0,22,0,0
433302,6,0,0,0,0
433304,2,0,0,0,0
433305,4,0,0,0,0
433306,0,0,0,0,0
433307,0,0,0,0,0
433401,0,0,0,0,0
433402,2,0,0,0,0
433403,62,0,0,0,0
433501,13,0,0,0,0
433503,0,0,0,0,0
433504,2,0,0,0,0
433601,0,0,0,0,0
433602,2,0,0,0,0
433700,12,0,0,0,0
433801,6,0,0,0,0
433802,65,0,60,0,0
433901,51,0,29,0,0
433902,1,0,0,0,0
434001,2,0,0,0,0
434003,0,0,0,0,0
434004,3,0,0,0,0
460200,12,0,0,0,0
460301,23,0,0,0,0
460302,0,0,0,0,0
460501,2,0,0,0,0
460502,0,0,0,0,0
460600,0,0,0,0,0
460700,0,0,0,0,0
461000,4,0,0,0,0
461100,10,0,0,0,0
461200,0,0,0,0,0
461300,9,0,0,0,0
463101,12,0,0,0,0
463300,0,0,0,0,0
464100,1,0,0,0,0
464200,0,0,0,0,0
480002,0,0,0,0,0
480011,2,0,0,0,0
480012,0,0,0,0,0
480101,1,0,0,0,0
480102,12,0,14,0,0
480201,0,0,0,0,0
480202,0,0,0,0,0
480302,2,0,0,0,0
480303,0,0,0,0,0
480304,3,0,0,0,0
480400,4,0,0,0,0
480500,0,0,0,0,0
480600,5,0,0,0,0
480702,0,0,0,0,0
480703,0,0,0,0,0
480704,4,0,0,0,0
480802,5,0,0,0,1
480803,0,0,0,0,1
480804,2,0,0,0,0
480901,0,0,0,0,1
480902,0,0,0,0,1
480903,4,0,0,0,1
481001,5,0,109,0,1
481002,17,0,16,0,0
481101,0,0,0,0,0
481102,0,0,0,0,0
481103,1,0,0,0,0
481201,2,0,0,0,0
481202,0,0,0,0,0
481300,1,0,0,0,0
481401,0,0,0,0,0
481402,3,0,0,0,0
481500,13,0,0,0,0
481603,0,0,0,0,0
481604,0,0,0,0,1
481605,2,0,0,0,1
481606,3,0,0,0,1
481711,0,0,0,0,0
481712,0,0,0,0,0
