census_tract,total_people,parks,shelter_beds,building_permits,foreclosures
481713,0,0,0,0,0
481714,3,0,0,0,0
481800,0,0,0,0,1
481901,2,0,0,0,1
481902,2,0,0,0,1
482001,0,0,0,0,1
482002,0,0,0,0,0
482101,1,0,0,0,0
482102,0,0,0,0,0
482201,1,0,0,0,0
482202,0,0,0,0,0
482301,5,0,0,0,0
482303,6,0,0,0,0
482304,1,0,0,0,0
482401,1,0,0,0,0
482402,8,0,0,0,0
482502,0,0,0,0,0
482503,3,0,0,0,0
482521,6,0,0,0,0
482522,0,0,0,0,0
482600,0,0,0,0,0
482701,2,0,0,0,0
482702,0,0,0,0,0
482800,0,0,0,0,0
500100,0,0,0,0,0
500201,10,0,0,0,0
500202,0,0,0,0,0
500300,8,0,0,0,0
500402,5,0,0,0,0
500403,7,0,0,0,0
500404,4,0,0,0,0
500500,3,0,0,0,0
500600,14,0,0,0,0
500700,8,0,0,0,0
500800,5,0,0,0,0
500900,9,0,0,0,0
501001,11,0,0,0,0
501002,1,0,0,0,0
501200,5,0,0,0,0
501300,7,0,0,0,0
501400,15,0,0,0,0
501501,3,0,32,0,0
501503,3,0,0,0,0
501504,50,0,0,0,0
501600,0,0,0,0,0
501700,0,0,0,0,0
501802,0,0,0,0,0
501803,7,0,0,0,0
501804,2,0,0,0,0
501900,3,0,0,0,0
502003,3,0,0,0,0
502004,39,0,0,0,0
502005,12,0,0,0,0
502100,44,0,45,0,0
502200,9,0,0,0,0
502301,0,0,0,0,0
502302,15,0,0,0,0
502401,12,0,0,0,0
502402,7,0,0,0,0
502500,16,0,0,0,0
502601,6,0,0,0,0
502602,9,0,0,0,0
502700,76,0,0,0,0
502801,0,0,0,0,0
502802,1,0,0,0,0
502901,0,0,0,0,0
502902,19,0,0,0,0
503000,48,0,0,0,0
503103,21,0,0,0,0
503104,19,0,0,0,0
503105,41,0,0,0,0
503106,3,0,0,0,0
503201,0,0,0,0,0
503202,0,0,0,0,0
503301,79,0,307,0,0
503302,78,0,0,0,0
503401,1,0,0,0,0
503402,0,0,0,0,0
503501,0,0,0,0,0
503502,8,0,0,0,0
503601,2,0,0,0,0
503602,6,0,0,0,0
503701,5,0,0,0,0
503702,18,0,0,0,0
503703,3,0,0,0,0
503801,2,0,0,0,0
503802,0,0,0,0,0
503901,0,0,0,0,0
503902,14,0,0,0,0
504001,2,0,0,0,0
504002,1,0,0,0,0
504101,3,0,0,0,0
504102,15,0,0,0,0
530003,0,0,0,0,0
530004,2,0,0,0,0
530005,0,0,0,0,0
530006,6,0,0,0,0
530101,0,0,0,0,0
530102,0,0,0,0,0
530202,7,0,0,0,0
530203,2,0,0,0,0
530204,8,0,0,0,0
530301,0,0,0,0,0
530302,0,0,0,0,0
530400,9,0,0,0,0
530500,5,0,0,0,0
530601,0,2,0,656,23
530602,4,2,0,656,23
530700,14,21,0,4103,106
530801,22,2,0,656,23
530802,13,2,0,656,23
530901,2,2,0,656,23
530902,2,2,9,656,23
531000,7,2,0,656,23
531101,0,2,0,656,23
531102,14,2,0,656,23
531201,15,13,0,2521,59
531202,7,11,25,1865,36
531301,21,11,56,1865,36
531302,0,11,0,1865,36
531502,1,0,0,0,0
531503,7,13,0,2521,59
531504,0,0,0,0,0
531602,4,0,0,0,0
531603,4,0,0,0,0
531604,27,0,0,0,0
531701,63,0,0,0,0
531702,20,0,0,0,0
531800,27,0,0,0,0
531901,0,0,0,0,0
531902,0,0,0,0,0
532001,3,0,0,0,0
532002,2,0,0,0,0
532101,3,0,0,0,0
532102,15,0,0,0,0
532200,4,0,0,0,0
532302,10,11,0,1865,36
532303,46,0,0,0,0
532304,415,0,342,356,3
532400,55,0,0,356,3
532500,5,0,0,356,3
532603,14,0,0,0,0
532604,4,0,30,0,0
532605,22,0,0,0,0
532606,0,0,0,0,0
532700,60,0,0,1420,36
532800,59,0,0,1064,33
532900,89,0,0,1064,33
533001,86,0,0,1064,33
533002,15,0,0,1064,33
533103,3,0,0,0,0
533104,1,0,0,0,0
533105,2,0,0,0,0
533106,0,0,0,0,0
533107,7,0,0,0,0
533201,0,0,0,0,0
533202,3,0,0,0,0
533203,11,0,0,0,0
533300,32,0,0,0,0
533401,15,0,0,0,0
533402,6,0,0,0,0
533403,9,0,0,0,0
533501,3,0,0,0,0
533502,4,0,0,0,0
533503,2,0,0,0,0
533601,0,0,0,0,0
533602,0,0,0,0,0
533603,14,0,0,0,0
533701,48,0,0,0,0
533702,2,0,0,0,0
533703,13,0,0,0,0
533803,2,0,0,0,0
533804,0,0,0,0,0
533805,3,0,0,0,0
533806,43,0,0,0,0
533901,6,0,0,0,0
533902,25,0,0,0,0
534001,17,0,0,0,0
534002,12,0,0,0,0
534101,26,0,0,0,0
534102,7,0,0,0,0
534201,4,0,0,0,0
534202,4,0,80,0,0
534203,3,0,0,0,0
534301,90,0,0,0,0
534302,6,0,0,0,0
534403,6,0,0,0,0
534404,0,0,0,0,0
534405,9,0,0,0,0
534406,8,0,0,0,0
534501,2,0,0,0,0
534502,0,0,0,0,0
534700,1,0,0,0,0
534802,3,0,0,0,0
534803,6,0,0,0,0
534804,11,0,0,0,0
534900,29,0,0,1064,33
535001,6,0,0,1064,33
535002,14,0,0,1064,33
535101,17,0,0,1064,33
535102,23,7,0,3034,151
535200,32,7,0,1970,118
535300,67,7,32,3034,151
535400,46,7,0,1970,118
535501,17,0,0,0,0
535502,14,0,0,0,0
535503,10,0,0,0,0
535603,4,0,0,0,0
535604,0,0,0,0,0
535605,2,0,0,0,0
535606,0,0,0,0,0
535607,2,0,0,0,0
535701,18,0,0,0,0
535702,5,0,1,0,0
535802,3,0,0,0,0
535803,1,0,0,0,0
535804,5,0,0,0,0
535901,9,0,0,0,0
535902,0,0,0,0,0
536000,2,0,0,0,0
536102,2,0,0,0,0
536103,8,0,0,0,0
536104,4,0,0,0,0
536200,4,0,0,0,0
540000,0,0,0,0,0
540101,7,0,0,0,0
540102,4,0,0,0,0
540201,15,0,0,0,0
540202,0,0,0,0,0
540203,10,0,0,0,0
540300,35,23,0,3219,198
540400,7,16,0,1249,80
540501,12,0,37,0,0
540502,0,0,0,0,0
540600,17,16,0,1249,80
540700,49,16,0,1249,80
540800,14,17,111,2102,114
540901,33,1,0,853,34
540902,195,1,0,853,34
541001,74,0,0,853,10
541002,0,0,0,853,10
541100,45,0,0,853,10
541200,15,17,0,2102,114
541300,11,0,0,0,0
541400,15,0,78,0,0
541500,6,0,0,0,0
541603,27,0,44,0,0
541604,27,0,0,0,0
541605,30,0,0,0,0
541606,22,0,0,0,0
541700,10,0,0,0,0
541801,7,0,0,0,0
541802,11,0,0,0,0
542000,22,0,94,0,0
542103,16,0,0,0,0
542104,8,0,0,0,0
542105,90,0,0,0,0
542106,5,0,0,0,0
542200,10,0,0,0,0
542401,6,0,0,0,0
542402,11,0,0,0,0
542501,18,0,0,0,0
542502,65,0,31,0,0
542601,31,0,0,0,0
542602,6,0,0,0,0
542700,20,0,0,0,0
542800,12,0,0,0,0
542900,2,0,0,0,0
543000,2,0,0,853,10
543100,11,0,0,0,0
543201,10,0,0,0,0
543202,23,0,0,0,0
543304,0,0,0,0,0
543305,223,0,0,0,0
543306,10,0,0,2,0
543321,1,0,0,0,0
543322,0,0,0,0,0
543400,33,0,0,853,10
543501,68,0,0,853,10
543502,10,0,0,446,0
543503,20,0,0,446,0
543601,1,0,0,0,0
543602,22,4,0,1649,25
543603,86,6,6,1836,40
543604,8,21,0,2827,82
543701,0,0,0,0,0
543702,0,0,0,0,0
543703,2,0,0,0,0
543801,9,0,0,0,0
543802,13,0,0,0,0
543903,0,0,0,0,0
543905,0,0,0,0,0
550000,40,0,72,0,0
550100,21,0,0,0,0
550201,0,0,0,0,0
550202,47,0,0,0,0
550300,4,0,0,0,0
550400,89,0,0,0,0
550500,0,0,0,0,0
550601,2,0,0,0,0
550602,1,0,0,0,0
550700,0,0,0,0,0
550800,0,0,0,0,0
550901,0,0,0,0,0
550902,0,0,0,0,0
551000,0,0,0,0,0
551101,1,0,0,0,0
551102,3,0,0,0,0
551201,0,0,0,0,0
551202,2,0,0,0,0
551300,37,0,132,0,0
551401,0,0,0,0,0
551402,3,0,0,0,0
551501,0,0,0,0,0
551502,0,0,0,0,0
551600,0,0,0,0,0
551700,5,0,0,0,0
551800,60,0,0,0,0
551900,4,0,0,0,0
552001,7,0,0,0,0
552002,10,0,0,0,0
552100,24,0,6,0,0
552200,63,0,22,0,0
552301,3,0,0,0,0
552302,5,0,0,0,0
552400,9,0,0,0,0
552601,2,0,0,0,0
552602,0,0,0,0,0
552700,3,0,0,0,0
552800,0,0,0,0,0
552900,4,0,0,0,0
553000,0,0,0,0,0
553100,24,0,0,0,0
553200,12,0,0,0,0
553300,13,0,0,0,0
553400,6,0,0,0,0
553502,0,0,0,0,0
553503,6,0,0,0,0
553504,0,0,0,0,0
553601,15,0,0,0,0
553602,0,0,0,0,0
553701,7,0,0,0,0
553702,6,0,0,0,0
553801,12,0,0,0,0
553802,0,0,0,0,0
553901,1,0,0,0,0
553902,3,0,0,0,0
554001,7,0,0,0,0
554002,36,0,28,0,0
554101,9,0,0,0,0
554103,17,0,0,0,0
554104,6,0,0,0,0
554105,40,0,0,0,0
554201,8,0,0,0,0
554203,5,0,0,0,0
554204,26,0,0,0,0
554301,0,0,0,0,0
554302,0,0,0,0,0
554403,22,0,0,0,0
554404,7,0,0,0,0
554405,0,0,0,0,0
554406,9,0,0,0,0
554511,0,0,0,0,0
554512,1,0,0,0,0
554513,0,0,0,0,0
554514,0,0,0,0,0
554515,4,0,0,0,0
554516,0,0,0,0,0
554517,0,0,0,0,0
554518,0,0,0,0,0
554519,0,0,0,0,0
554521,16,0,0,0,0
554522,6,0,0,0,0
554600,4,0,0,0,0
554700,6,0,0,0,0
554801,1,0,0,0,0
554802,27,0,0,0,0
554900,4,0,46,0,0
555001,0,0,0,0,0
555002,14,0,0,0,0
555102,0,0,0,0,0
555103,4,0,0,0,0
555104,10,0,0,0,0
555211,7,0,0,0,0
555212,5,0,0,0,0
570001,0,0,0,0,0
570002,0,0,0,0,0
570003,0,0,0,0,0
570701,4,0,0,0,0
570702,2,0,0,0,0
570800,2,0,0,0,0
570901,3,0,0,0,0
570902,5,0,0,0,0
571000,2,0,0,0,0
571101,0,0,0,0,0
571102,0,0,0,0,0
571300,0,0,0,0,0
571400,3,0,0,0,0
573401,15,0,0,0,0
573402,18,0,0,0,0
573403,2,0,0,0,0
599000,18,0,0,0,0
599100,19,0,0,0,0
600100,20,16,0,4181,251
600201,14,28,0,7397,471
600202,29,28,6,7397,471
600302,11,12,0,3216,220
600303,56,16,0,4181,251
600304,76,16,0,4181,251
600400,16,12,0,3216,220
600501,8,0,0,0,0
600502,7,0,0,0,0
600601,18,0,0,0,0
600602,9,0,0,0,0
600702,2,0,0,0,0
600703,0,0,0,0,0
600704,13,0,0,0,0
600801,0,0,0,0,0
600802,1,0,0,0,0
600902,1,0,0,1,1
600911,15,0,0,1,1
600912,8,0,0,1,1
601001,31,0,0,0,0
601002,18,0,0,0,0
601100,9,0,0,0,0
601202,2,0,0,0,0
601211,5,0,0,0,0
601212,2,0,0,0,0
601301,0,0,0,1,1
601302,66,7,0,12389,55
601303,0,0,0,1,1
601401,241,0,663,0,0
601402,7,0,0,0,0
601501,18,0,0,0,0
601502,26,0,0,0,0
601600,16,0,0,0,0
601700,32,0,0,0,0
601801,8,0,0,0,0
601802,47,0,0,0,0
601900,7,0,0,0,0
602002,2,0,0,0,0
602003,10,0,0,0,0
602004,14,0,0,0,0
602103,3,0,0,0,0
602104,4,0,0,0,0
602105,4,0,0,0,0
602106,2,0,0,0,0
602200,6,7,0,12388,54
602301,1,0,0,0,0
602302,18,0,0,0,0
602402,10,0,7,0,0
602403,2,0,0,0,0
602404,0,0,0,0,0
602504,16,0,0,0,0
602505,2,0,0,0,0
602506,1,0,0,0,0
602507,5,0,0,0,0
602508,9,0,0,0,0
602509,12,0,0,0,0
602600,18,0,6,0,0
602700,9,12,0,3216,220
602801,88,28,0,7397,471
602802,55,31,0,8066,489
602900,70,3,0,669,18
603001,7,3,0,669,18
603004,2,3,0,669,18
603005,2,3,0,669,18
603006,4,3,0,669,18
603101,11,3,78,669,18
603102,5,3,0,1522,28
603200,2,0,0,853,10
603301,2,3,0,669,18
603302,19,3,0,1522,28
603400,13,0,0,0,0
603500,9,0,0,0,0
603600,22,0,0,0,0
603702,12,0,0,0,0
603703,1,0,0,0,0
603704,10,0,0,0,0
603801,1,0,0,0,0
603802,29,0,0,0,0
603900,3,0,0,0,0
604001,0,0,0,0,0
604002,6,0,0,0,0
604100,4,0,0,0,0
609900,44,37,0,7047,134
620001,2,0,0,6,0
620002,0,0,0,6,0
620101,4,0,0,6,0
620102,0,0,0,6,0
620201,0,0,0,0,0
620301,2,0,0,0,0
620303,0,0,0,0,0
620305,1,0,0,0,0
620400,1,0,0,0,0
620501,105,0,0,0,0
620521,1,0,0,0,0
620522,0,0,0,0,0
620601,18,0,0,0,0
620602,2,0,0,0,0
620701,6,0,0,0,0
620702,0,0,0,0,0
620800,0,0,0,0,0
620901,0,0,0,0,0
620904,0,0,0,0,0
621001,0,0,0,0,0
621002,2,0,6,0,0
621004,6,0,0,0,0
621102,3,0,0,0,0
621104,9,0,0,0,0
621201,4,0,0,0,0
621204,50,0,0,0,0
621301,0,0,0,0,0
621324,3,0,0,0,0
621326,17,0,0,0,0
621400,10,0,0,0,0
650001,0,0,0,0,0
650003,3,0,0,0,0
650004,0,0,0,0,0
650101,4,0,0,853,10
650102,2,0,0,0,0
650200,7,0,0,0,0
650300,18,0,0,0,0
650401,1,4,0,1203,25
650501,6,0,0,0,0
650502,4,0,0,0,0
650602,11,0,0,0,0
650603,9,0,0,0,0
650604,2,0,0,0,0
650605,0,0,0,0,0
650701,4,0,0,0,0
650702,0,0,0,0,0
650800,1,0,0,0,0
650901,2,4,0,1203,25
650902,0,4,0,1203,25
651001,0,4,0,1203,25
651002,6,4,0,1203,25
651101,2,0,0,0,0
651102,0,0,0,0,0
651201,8,0,0,0,0
651221,0,0,0,0,0
651222,2,0,0,0,0
651302,5,0,0,0,0
651304,3,0,0,0,0
651401,0,0,0,61,3
651402,0,0,0,0,0
670001,0,4,0,1264,28
670002,1,0,0,61,3
670003,27,0,17,61,3
670100,5,6,0,1897,43
670201,0,0,0,0,0
670202,0,0,0,0,0
670324,4,0,0,0,0
670326,0,0,0,0,0
670328,0,0,0,0,0
670403,0,0,0,5,0
670405,0,0,0,5,0
670406,0,0,0,5,0
670407,0,0,0,5,0
670411,0,0,0,5,0
670413,0,0,0,5,0
670416,0,0,0,5,0
670500,0,0,0,0,0
670602,0,0,0,5,0
670701,1,0,0,66,3
670702,0,0,0,5,0
700101,35,17,0,9874,81
700102,8,17,0,9874,81
700200,9,12,6,6537,63
700300,10,12,20,10030,91
700400,7,1,0,9338,50
700501,3,0,0,6626,53
700502,9,0,0,3493,28
700600,3,0,0,3133,25
700700,4,0,0,3160,25
700801,3,0,0,3165,25
700802,0,0,0,5,0
700901,5,0,0,5,0
700902,0,8,0,4689,37
701000,1,0,0,27,0
701100,384,26,689,23271,143
701201,0,4,0,754,4
701202,8,0,0,18,0
701302,4,0,0,18,0
701304,10,4,0,754,4
701402,28,0,0,18,0
701501,84,0,103,18,0
701502,24,0,0,18,0
701601,6,0,0,18,0
701602,21,0,0,18,0
701701,16,0,7,0,0
701702,70,0,277,0,0
701801,53,0,55,0,0
701802,116,0,18,0,0
701902,193,0,0,0,0
702002,22,0,0,0,0
702102,29,0,0,0,0
702201,16,0,10,0,0
702202,5,0,0,0,0
702300,7,0,0,0,0
702400,5,1,0,240,1
702501,4,4,0,1294,16
702502,8,26,0,5992,134
702600,15,3,0,1054,15
702700,1,3,0,1054,15
702801,5,4,0,1294,16
702802,29,10,0,7553,51
702803,51,11,169,9585,63
702901,35,4,0,3086,27
703001,4,3,0,1054,15
703002,0,7,0,12506,60
703100,7,20,0,6662,300
703200,13,20,0,6545,295
800101,0,1,0,4792,104
800102,0,1,0,4793,104
800202,0,0,0,9,1
800203,0,0,0,9,1
800204,0,6,0,8529,101
800324,21,0,0,0,0
800325,0,0,0,0,0
800326,41,0,0,1,0
800327,0,0,0,0,0
800328,0,0,0,9,1
800329,0,0,0,9,1
800330,0,0,0,1,0
800331,0,0,0,0,0
800332,0,0,0,0,0
800406,4,0,0,1,0
800408,83,0,0,1,0
800410,10,0,0,1,0
800504,41,0,0,10,1
800506,23,0,0,2,0
900102,206,0,0,0,0
900103,232,0,0,0,0
900104,184,0,0,0,0
900201,11,0,0,0,0
900300,9,0,0,0,0
900501,56,0,0,0,0
900504,215,0,0,0,0
900505,4,0,0,0,0
900506,5,0,0,0,0
900507,0,0,0,0,0
900508,0,0,0,0,0
900602,25,0,0,0,0
900605,31,0,0,0,0
900606,12,0,0,0,0
900607,95,0,87,0,0
900608,6,0,0,0,0
900609,18,0,0,0,0
900701,39,0,18,0,0
900703,88,0,21,0,0
900704,26,0,10,0,0
900705,6,0,0,0,0
900803,32,0,0,0,0
900804,0,0,0,0,0
900805,68,0,0,0,0
900806,166,0,333,0,0
900900,13,0,0,0,0
901003,0,0,0,0,0
901004,29,0,45,0,0
901007,5,0,0,0,0
901008,67,0,0,0,0
901009,39,0,0,0,0
901010,13,0,0,0,0
901011,10,0,0,0,0
901101,0,0,0,0,0
901102,0,0,0,0,0
901205,0,0,0,0,0
901209,32,0,0,0,0
901210,0,0,0,0,0
901213,0,0,0,0,0
910001,373,0,0,0,0
910002,152,0,0,0,0
910101,0,0,0,0,0
910201,29,0,0,0,0
910202,18,0,0,0,0
910205,4,0,0,0,0
910206,1,0,0,0,0
910207,6,0,0,0,0
910208,5,0,0,0,0
910209,6,0,0,0,0
910210,0,0,0,0,0
910301,1,0,0,0,0
910302,0,0,0,0,0
910401,5,0,0,0,0
910402,9,0,0,0,0
910403,26,0,0,0,0
910404,10,0,0,0,0
910501,11,0,0,0,0
910502,12,0,0,0,0
910504,2,0,0,0,0
910505,8,0,0,0,0
910601,5,0,0,0,0
910602,6,0,0,0,0
910603,2,0,0,0,0
910605,1,0,0,0,0
910606,0,0,0,0,0
910705,0,0,0,0,0
910706,5,0,0,0,0
910707,6,0,0,0,0
910709,2,0,0,0,0
910711,0,0,0,0,0
910712,4,0,0,0,0
910713,0,0,0,0,0
910714,6,0,0,0,0
910715,18,0,0,0,0
910716,29,0,0,0,0
910804,21,0,0,0,0
910805,0,0,0,0,0
910807,0,0,0,0,0
910808,7,0,0,0,0
910809,2,0,0,0,0
910810,3,0,0,0,0
910811,10,0,0,0,0
910812,13,0,0,0,0
910813,0,0,0,0,0
911001,216,0,0,0,0
920011,0,0,0,0,0
920012,3,0,0,0,0
920013,5,0,0,0,0
920015,0,0,0,0,0
920016,4,0,0,0,0
920017,0,0,0,0,0
920018,11,0,0,0,0
920020,0,0,0,0,0
920023,4,0,0,0,0
920026,16,0,0,0,0
920028,0,0,0,0,0
920029,0,0,0,0,0
920030,0,0,0,0,0
920031,29,0,0,0,0
920032,0,0,0,0,0
920033,16,0,0,0,0
920034,0,0,0,0,0
920035,12,0,14,0,0
920036,25,0,0,0,0
920037,2,0,0,0,0
920038,3,0,0,0,0
920039,0,0,0,0,0
920040,2,0,0,0,0
920041,12,0,0,0,0
920042,9,0,0,0,0
920043,0,0,0,0,0
920044,6,0,0,0,0
920045,0,0,0,0,0
920102,0,0,0,0,0
920104,0,0,0,0,0
920106,3,0,0,0,1
920107,11,0,0,0,1
920108,1,0,0,0,1
920109,1,0,0,0,0
920110,0,0,0,0,0
920111,3,0,0,0,0
920112,0,0,0,0,0
920114,0,0,0,0,1
920115,8,0,0,0,1
920116,19,0,0,0,0
920118,63,0,0,0,1
920119,0,0,0,0,0
920200,1,0,0,0,0
920303,0,14,0,5071,141
920312,1,0,0,0,0
920313,0,0,0,0,0
920314,62,0,38,0,0
920322,0,0,0,0,1
920326,0,0,0,0,0
920328,0,0,0,0,1
920329,39,0,0,0,1
920330,48,0,0,0,1
920331,0,0,0,0,1
920332,2,0,0,0,0
920334,0,0,0,0,1
920336,11,0,0,0,1
920337,3,0,0,0,0
920338,0,0,0,0,0
920339,9,0,0,0,1
930101,3,7,0,2900,69
930200,138,28,160,9402,304
930301,7,0,0,0,0
930401,5,7,0,13302,203
980001,12,0,0,99,1
980002,0,0,0,2,0
980003,4,0,0,0,0
980004,0,0,0,0,0
980005,7,4,0,1203,25
980008,16,7,0,9808,228
980009,46,45,0,10840,113
980010,10,37,0,12259,75
980013,12,0,0,6,0
980014,220,21,0,2829,82
980015,21,58,0,9874,216
980019,8,10,0,6667,32
980020,23,0,0,0,0
980021,80,50,0,15887,514
980022,0,29,0,12774,430
980023,25,27,0,9277,187
980024,78,31,0,14135,240
980025,1,0,0,2,0
980026,13,13,0,5448,130
980028,24,10,0,13987,78
980030,2,0,0,6,0
980031,24,47,0,7704,167
